sentence1	sentence2	gold_label
A harmonized moment in a colorful ballerina show.	Ballerinas intercepted the football and ran it back for a touchdown.	contradiction
Disaster workers in camouflage have been working hard to clean up after the tornado.	Disaster workers sitting around while others work hard to clean up after a tornado.	contradiction
dog with open mouth and a toy close by in the air	A dog is eating food from a bowl in the garage.	contradiction
Man in red shirt speaks into microphone	The man is done on the microphone.	contradiction
Two kids playing on mats.	Some kids are playing on a swing.	contradiction
A man in a brown hat and red apron is attending an outdoor grill.	A man in a red hat and brown apron attends to a grill.	contradiction
A man is handling a ladder, surrounded by cut up tree branches and lawn maintenance equipment.	The man was in his study writing another chapter of his novel	contradiction
An old man sleeps on the grass at the foot of a large tree.	The old man is trying to climb a tree.	contradiction
A skateboarder is landing a trick from a high place.	The skateboarder is playing video games.	contradiction
A little boy flinches as a deer kisses him on the cheek.	The boy stood still as the deer kissed his cheek.	contradiction
A white dog and a brown dog play in the grass.	The dogs play in the house.	contradiction
A woman in a red shirt is walking past a store called Burrito Bandidos and it is open.	a women crawls on the ground	contradiction
A man in a suit posing for a photo in front of the Eiffel Tower.	A naked man in front of the Eiffel Tower.	contradiction
A lot of people are in a room where some are sitting and some are standing.	People are outside.	contradiction
Three people pose with their political signs out in public.	The people are standing in their house.	contradiction
A person in a red, white and blue jumpsuit flying through the air on a yellow motorcycle.	A man is indoors reading a magazine.	contradiction
There is a man and woman at a beach jumping straight up in the air hold hand and smiling.	There is a man and woman at a park walking down a path and hold hands and smiling.	contradiction
A man holding a video camera standing next to a woman by water.	The man is holding a microphone as he introduces the woman standing by the water.	contradiction
Two cowboys attempting to lasso a cow in a rodeo.	The cowboys are trying lasso a cat.	contradiction
Three little boys with nets looking for bugs to catch.	They intend to catch bugs with their bare hands.	contradiction
Two young boys smile and walk outside.	the cat eats goats	contradiction
A man in a red jacket wearing snow gear is midair on a snowboard with a red structure in the background.	A man is skateboarding	contradiction
A man and woman are holding a fishing pole in front of a body of water.	A lawyer draws up divorce papers.	contradiction
An man from African descent wearing a white shirt, brown trousers and glasses is playing an accordion on a stage at a festival.	He plays a mean guitar	contradiction
A little boy blows bubbles, which are held by a young woman	The woman and little boy are playing football.	contradiction
Three people sit looking over a drainage ditch next to a crocodile warning sign.	Three people are snowboarding.	contradiction
An older couple taking a walk together.	Four older people eating hamburgers at a restaurant.	contradiction
A woman in a wedding dress and a man in a suit are walking with arms linked.	A woman and a man are sitting apart from each other.	contradiction
A woman in an Italian cafe waits at the counter.	The woman is driving her car on the freeway.	contradiction
The crafty black cat is caught with a mouse in his mouth.	The cat caught a dog	contradiction
Patrons share a drink at nightclub.	someone is throwing up	contradiction
Protesters run as gas grenades are thrown into the street.	The protesters are getting shot at by firearms.	contradiction
A one-armed man in a brown shirt sits in a chair facing the camera.	A woman stands in front of the camera.	contradiction
A man is trying to repair a window.	A man is looking out the window watching some animals.	contradiction
Guy with a mohawk cutting meat.	A guy with a shaved head eats lunch.	contradiction
Two people are racing go-carts.	They are playing basketball.	contradiction
Several people stand around eating, drinking, and talking, while a woman prepares finger food.	People sit silently in a restaurant waiting for their food.	contradiction
a man is in his room throwing pieces of paper into the air.	A man is baking a cake.	contradiction
two babies are sitting in their highchair	Three kids are seated at the children's table at Thanksgiving.	contradiction
Two men stride side by side on the sidewalk along a red painted wall.	The two men are at a restaurant eating cake.	contradiction
A shirtless man jumping off an old stone bridge while a woman and children watch him.	The man is wearing a blue shirt and red tie.	contradiction
Three dogs appear to be playing rough inside a fenced enclosure.	Some puppies are running free through an open field.	contradiction
A man dressed in black is holding a black garbage bag and picking up items from a dirt lot.	The man is in the classroom teaching physics.	contradiction
A man and a boy are working on equipment.	Two women work on equipment	contradiction
A blond woman wearing a pink bikini and a man wearing swim trunks jump happily in the water	The people are a the drive-in.	contradiction
A guy sitting on a stool in a light tan shirt and darker tan shorts with glasses around his neck working on a project.	A man in all blue is dancing.	contradiction
A mailman in his truck whom is in front of a gate.	The mailman is testifying at a congressional hearing.	contradiction
An Asian man is painting his face.	A man is cutting his own hair.	contradiction
Happy woman in white walking on the sidewalk holding a Migros bag.	The woman is very angry.	contradiction
Two construction workers at a job site.	The woman throws a pudding cup	contradiction
A blond child is pulling a wagon with a little blond boy in it.	A child is swimming.	contradiction
The brown dog is running towards a blue and yellow tube.	A cat is running.	contradiction
A crowd is watching a rock band perform on stage.	A crowd is watching a movie.	contradiction
Bicyclists waiting at an intersection.	The bicyclists are dead.	contradiction
A man on inline skates in midair	The man on skates is the President of the Unites States	contradiction
A basketball player from Penn State dribbles a ball while being surrounded by Lafayette players.	The Penn State player is holding the ball.	contradiction
White bird starting to take flight from a lake.	The birds are all floating on the calm water, sleeping.	contradiction
Several children playing in a ball pit.	The children are sleeping.	contradiction
A lady sleeps while seated in a yellow chair.	A lady is knitting a sweater.	contradiction
A boy does gymnastics in the grass by the blue play tunnel, as two boys stand on the patio of a ranch-style house.	The house is an Irish cottage.	contradiction
The streets of a big city.	The town is small.	contradiction
Two white dogs walk through a huge bank of mountain snow.	Two cats walk through a huge pile of leaves.	contradiction
Three elderly women walking from behind.	Three elderly women are sitting on a bench.	contradiction
A young boy wearing blue is holding a blue baseball bat and holding a white ball in his hand.	A young boy is bouncing an orange ball on the sidewalk.	contradiction
Young bearded man in shoddy clothes and a ball cap plays a violin	A man is playing a trombone.	contradiction
The sky is blue and clear.	The sky is blue, clear, and raining.	contradiction
Youth in white T-shirt on a white surfboard in the water.	A youth in a white t-shirt was walking in the mall.	contradiction
Woman giving a presentation about a Chevrolet car.	Woman driving a Chevrolet car.	contradiction
Man wearing a black fedora hat, blue shirt, strumming an electric guitar with rhythm slider on his left pinkie finger.	The drummer is drumming.	contradiction
Members of a marching band and dancers in yellow-fringed outfits perform on a sports field.	A group of people are inside of a cafe.	contradiction
A child is having a good time at the wedding reception.	A child is eating at a restaurant buffet.	contradiction
A young boy dressed for winter sleds down a snowy hill.	the boy is making tea	contradiction
A person above their surfboard on the water.	A person is waterskiing.	contradiction
A boy with a blue shirt travels on a skateboard past a Blockbuster video store on the corner.	Girls hanging around skateboards with guys	contradiction
A man in a blue shirt is repelling down a building.	A man is wearing a red shirt	contradiction
A busy crosswalk somewhere in asia.	The crosswalk was blocked off by police.	contradiction
A woman from Kenya is wearing her country's native colors of red, green, and black, as she is running a race in the outdoors.	A woman is ice skating in doors.	contradiction
two men playing soccer on a wet field	Two men are playing soccer inside the house.	contradiction
Children wearing red formal attire act silly together.	the children are swimming with dolphins	contradiction
i cannot see an image here.	A rainbow.	contradiction
Two little girls in dresses playing a game by a stone wall.	Everyone is in a field.	contradiction
People are walking or running over a gray line on a large bridge.	People are driving their car	contradiction
A woman wearing a teal and magenta sari leans over a sewing machine.	A man is weaving a rug.	contradiction
This man is in a bicycle race.	A man is eating a burrito	contradiction
An older man and younger teenage boy working in the lawn.	The man and teenage boy are sitting inside drinking lemonade.	contradiction
A boy dressed in soccer attire and holding his shoes getting out of a car.	A boy holding a baseball bat	contradiction
A man in a yellow kayak with the water rushing around him.	A man is swimming.	contradiction
A woman wearing a scarf and reading a thin book reclines on a wooden structure.	The woman read an encyclopedia.	contradiction
A man working on a train on railroad tracks.	A man is by a bbq.	contradiction
A large construction site with many vehicles in a city.	A dog park with three dogs in the city.	contradiction
A crowd of people views newspaper covers in Washington D.C.	The crowd is not looking at anything.	contradiction
Someone wearing rings is working on a record player.	Someone works on a model airplane.	contradiction
Two young players are pushing each other in a football practice.	Two baseball players are pitching balls.	contradiction
A skinny person wearing and Mondesi jacket and jeans dress shoes is walking down the cemented bridge	The person on the bridge is going to swim in the river.	contradiction
Asian families taking a break from life.	The american families are taking a break.	contradiction
A little boy playing with some sort of pipe.	A boy is sleeping.	contradiction
There is the last of the public telephone located in the state.	there are no public phones in this state	contradiction
A woman with a vacant expression throws a football as a man in a gray shirt looks at his phone.	The woman is tossing a frisbee.	contradiction
A guy flipped over upside down on a bicycle.	A guy flipped upside down in a car.	contradiction
A fat man is refueling his Chevy SUV outside of a store that has a sign that says Terrible's Beer.	A fat man is refueling his Chevy SUV with jet fuel.	contradiction
A man holding and kissing a crying little boy on the cheek.	A boy is screaming at a woman for looking funny.	contradiction
A blond woman with glasses listens too an mp3 player.	a blonde woman is talking to her friend	contradiction
A man in a wetsuit is throwing a toddler up in the air and is ready to catch him.	A man in a wetsuit has caught a toddler out of the air.	contradiction
A girl hangs over the seat of a swing in a playground.	A dog is playing in the backyard.	contradiction
3 gentleman look at a bike that's turned upside down.	the men are asleep on a tree	contradiction
A runner in a yellow shirt is cresting a hill.	The runner is tying her shoes.	contradiction
Two people running in the direction that is right for them.	Two dogs running in the direction that is right for them.	contradiction
A man in a bright yellow shirt plays his guitar as another man plays the drums in the background.	The man in the bright yellow shirt blows his trumpet.	contradiction
A black man stares angrily on the street.	A cow eat grass in a pasture.	contradiction
Two people are standing, man in a tuxedo and women in a blue gown.	Two people in khakis and flannel are sitting in the grass.	contradiction
A man and two women on one motorcycle.	All three people are men.	contradiction
A little girl is wearing knee pads and a helmet next to a pretty bike.	The little girl is riding around on a motorcycle.	contradiction
A child in a blue shirt is riding a horse	The boy is skateboarding on the sidewalk.	contradiction
A female barista making a latte.	A bartender pours a beer for a patron.	contradiction
Two women talking with each other in a subway.	the two women are in a spa, relaxing.	contradiction
Santa Claus leads some type of parade on an odd looking vehicle.	Santa Claus in a chimney	contradiction
The two boys, in matching red shirts, fell asleep in the same position.	The two boys were fighting and throwing punches.	contradiction
A man on a lift is inspecting a tree.	A woman on a step stool is grabbing an apple from a tree.	contradiction
a person bathes in a homemade shower with a green watering can	A person is sleeping.	contradiction
Three girls, outside on a lawn, pay attention to a small brown and white dog; the smallest girl, wearing a pink and white hat, has her hand on the back of the dogs neck.	Three boys are running down a railroad track with a big dog chasing them.	contradiction
Jokey on white or light gray horse is jumping over a hurdle of yellow, white and black poles.	The horse planted the poles to jump over earlier.	contradiction
A white dog catches a green ball while standing in shallow water.	A white dog is sleeping at home.	contradiction
Man in a baseball cap is hitting a punching bag.	A man is not hitting a bag	contradiction
Two blond girls reading books in a bookstore.	The girls are picking out a movie to watch	contradiction
From the inside of a car, a verdant neighborhood and a man on a tractor pulling a fallen tree are visible.	A woman plants pansies.	contradiction
A violinist playing for money on a sidewalk.	A mans plays the trumpet.	contradiction
A man climbing up a rocky cliff	The man is sitting in a bathtub.	contradiction
Two people with backpacks take a picture of something high above them, while standing in a crowd.	The people do not have a camera.	contradiction
a dog with black, white, and brown coloring is leashed up to a mirror	A white poodle is tied to a mirror.	contradiction
A dedicated worker working on his craft shirtless.	A worker is wearing a sweater, jacket, and scarf while laboring.	contradiction
A man wearing a white hat is about to hit the golf ball.	Nobody has a hat.	contradiction
Man sits near water with fishing pole and empty camping chair.	Nobody is sitting.	contradiction
A man is climbing the mountain.	A woman is standing at the top of a mountain	contradiction
Two dogs are playing rough in a green field of grass.	Three dogs chase a rabbit in a park	contradiction
A woman with a black top, blue jeans and sandals chasing a child with an orange shirt, tennis shoes and camouflaged hat and pants at the playground.	man eats ice cream alone	contradiction
A woman is taking a break from sweeping up a broken pot to gaze out of the window.	A man uses a Zamboni to clean the ice hockey rink.	contradiction
A little boy play with flour on the floor.	A girl is playing in flour.	contradiction
Three oriental men are riding on a red moped scooter in the city with many people.	three men are laying on the beach	contradiction
A woman in a white shirt sitting on a gray bench in front of a wall with graffiti written on it.	A man sits on a bench behind a wall.	contradiction
A man in a yellow shirt and a man in an orange shirt jump in the air.	Two men stand still.	contradiction
Two men confer while standing in a front of a stone wall with writing on it, while others sit at outdoor tables in the background.	People are walking quickly by while two women are standing in front of a blank wall talking.	contradiction
A small brown and black dog	Pets are eating	contradiction
Two men wearing safety harnesses are working on a light fixture.	The men are working on a pool.	contradiction
3 girls imitating a sexual position at a party	A girl is jogging down the street.	contradiction
A very graceful ice skater.	The villain is stalking his prey.	contradiction
A man on a bicycle is talking to another man.	Two men having lunch at a cafe	contradiction
A young Muslim woman on the street of an American city.	A woman sits in a lobby	contradiction
Five people sit near the water looking towards a bridge.	Five people walk on a bridge.	contradiction
A black dog wearing a collar running across the beach.	The dog is in forest.	contradiction
Helmeted boy bicyclist on path in the woods.	A boy building a fort in the woods.	contradiction
A man in blue and a woman in brown, with orange hair, are hugging.	Two people run away from each other.	contradiction
A boxer throws a punch at his opponent.	A boxer unlaces his gloves while sitting on a stool in his corner.	contradiction
A dog wearing a blue harness stands in the snow and pants.	A dog is lying in the sun on the beach	contradiction
A man with a striped shirt and glasses speaks into a microphone.	A man is driving a car.	contradiction
A mixed group of men and women are sitting around a table.	Nobody is sitting.	contradiction
Two girls talking while sitting on the stairs.	Two men are running up and down the stairs.	contradiction
Two women are posing for a photo with two men dressed in costume.	The men are naked	contradiction
A man watches a small child in pink.	a man watch tv.	contradiction
A race car kicks up dust as it speeds down a gravel racetrack.	A race car is in the pit getting a tire changed.	contradiction
A young African boy sits in a dirt courtyard in front of a barbecue grill.	An African boy learns how to use a firearm with bus father.	contradiction
Two men who play in hockey, one with a red jersey and one with a white jersey, are fist fighting each other.	The two guys have never played a sport, ever.	contradiction
two older women walking down the busy street with shopping bags	Two teenagers walk along a deserted road with suitcases.	contradiction
The little boy in the red shirt looks at the smaller boy in an orange shirt while riding bikes.	The boys are swimming.	contradiction
Two elderly women sit on a subway train.	Some young women are laughing at the restaurant.	contradiction
Children playing soccer on a field while parents watch.	The children are fighting with their parents.	contradiction
A man moving flowers while a woman makes a gesture at him.	I speak fluent Swahili.	contradiction
A large dog licking its nose.	A dog chases its tail.	contradiction
This BMX biker gets air while well protected by a red, white and blue helmet.	A BMX biker is on camping by a fire.	contradiction
A young man does skateboard tricks on a ramp.	A young woman does skateboard tricks on a ramp.	contradiction
A man is dancing with a dog between his legs.	A man is riding a horse.	contradiction
Three dogs are playing on grassy hill with a blue sky.	Three dogs are sleeping.	contradiction
A girl, wearing a white blouse, is holding a ball, and pointing to a frisbee.	A boy in a white shirt is holding a football.	contradiction
A card dealer displays his cards on the green felt table.	A card delar lost his cards	contradiction
The horse on the left has a white mane.	The horse is a unicorn and is flying in the air.	contradiction
A couple practice different ways to wear sunglasses in front of a red car.	The couple are driving the red car.	contradiction
There is a dog running along the beach.	The dog is sleeping in his kennell.	contradiction
A group of people eating on a picnic table at a park.	The people are are playing water polo in the pool.	contradiction
A group of people appear to be tilling the ground in front of a couple of thatch roof huts.	A group of people looking for a new house.	contradiction
A young dark-haired girl in a pink and white swimsuit smiles as she lies in three inch deep water.	A young dark-haired girl not in a pink and white swimsuit	contradiction
A female softball player dramatically slides into a plate as the baseman stands poised to catch the ball.	A female player is practicing sliding alone in her backyard.	contradiction
A man stands in front of a street vending booth with his hands crossed awkwardly in front of him while two yellow taxis are seen in the background of the cityscape.	The two taxis have crashed into each other hitting the man with his hands crossed in front of him.	contradiction
A man climbing a rock with a rope hanging down and safety clips on his waist belt.	The man is climbing onto his bed.	contradiction
Man in jacket sitting on ground leaning up against building.	The man is naked leaning against a Mcdonalds.	contradiction
A bride and groom walk on a path through grass while another couple follows behind them.	The couple are inside the church.	contradiction
Badminton tournament is held for the handicapped.	A game of badminton is ending	contradiction
A live music concert is dropping confetti from the ceiling while the crowd cheers on, ecstatically.	The crowd cheers for their favorite team.	contradiction
A street vendor eats lunch while watching over her fresh meat stand.	A woman is having breakfast with friends.	contradiction
A woman wearing a skirt and t-shirt sweeps out a storage area.	The lady is flying on a broomstick.	contradiction
a jewish man holds a menorah next to armed guards	There is an Irish man at home playing pool.	contradiction
A man in a blue hat is sitting on the steps of a statue in an Asian area.	the man is making the statue	contradiction
A woman in a market sorting the lettuce.	A woman rides a bike.	contradiction
Two men dressed in white shirts button down shirts, white hats, with blue scarves tied around their necks	They are dressed in drag	contradiction
A man is speaking into a microphone with a variety of recording equipment in front of him.	A woman is using a computer.	contradiction
The white and black dog is running through a field.	Two dogs are running through a field.	contradiction
Two dogs playing on the shore.	Two squirrels are playing.	contradiction
Young man working in a science lab.	A man is sleeping.	contradiction
Two men with helmets sit in front of their scooter.	No men in the photo are wearing head gear.	contradiction
A young teenage girl talks to another teenager with a red sweatshirt.	Nobody is talking.	contradiction
Blond woman lounging on a couch pursing her lips.	A blond woman is sprinting on a treadmill.	contradiction
A woman and a child are outside of a Mcdonald's and there's a man seated inside with a drink.	The woman and child are at Burger King	contradiction
The tan dog is carrying a green squeak toy in its mouth.	A squeak toy sits all alone.	contradiction
A little boy playing with flags in the park while his parents watch him in the back.	A boy asleep in the rain.	contradiction
A man with shorts on is running through a small creek	A man is riding his bike on the sidewalk.	contradiction
A group of women in native garb sit on the floor.	The group of men stood next to the door.	contradiction
Six soccer players in blue uniforms and five soccer players in red uniforms are on a soccer field playing soccer.	Six basketball players in uniforms and five basketball players in uniforms are playing on a basketball court.	contradiction
A person holding a flat box is standing near two people sitting down.	a person is asleep in their bed	contradiction
A seagull on a picnic table at a dock.	A seagull is not on a picnic table.	contradiction
Three people running a race next to a body of water.	No one is racing by water.	contradiction
A person in blue on a snowboard during a jump.	The person in blue is starting a fire.	contradiction
Young man with glasses and two small pigtails on front of his hair with bloody face appears to be in Emergency room waiting area.	A girl is playing outside the hospital.	contradiction
Four women in identical long delicate white dresses are dancing on a stage.	The women are wearing black.	contradiction
A girl in a dress runs followed by a man in jeans.	A girl sits down in the grass.	contradiction
A young Mormon man walking with his bike downtown.	The man is on a jog.	contradiction
A person in a black hat is holding multicolored juggling pins.	A man is riding a unicycle.	contradiction
A girl laughing and a girl looking away.	Two boys are laughing.	contradiction
The traffic light could be dangerous the way it is hung.	The traffic light is on the ground.	contradiction
A man with dark hair and a red shirt throws a dart at an off-camera target.	The man floats in the ocean	contradiction
A man sleeping on the grass under a green blanket.	A man awake under a red blanket.	contradiction
A guy is riding a bike up the side of a hill.	A guy is riding a bike down a hill.	contradiction
Two people are demonstrating martial arts to a crowd and jumping over three youngsters who are crouched on the mat.	The youngsters are standing on the mat at full height.	contradiction
The skateboarder is taking a jump.	The skateboarder is at home taking a nap.	contradiction
A family is relaxing on their bright yellow boat.	A family is not relaxing on their bright yellow boat.	contradiction
Two men at a check out counter about to pay for all of their groceries.	Two men are stealing groceries.	contradiction
"A man posing with a ""November ca n't come soon enough"" poster."	A man is sitting at a bar	contradiction
A dog in the snow.	The dog is resting on the summer day.	contradiction
Brown dog running on grass.	A cat is walking on the grass.	contradiction
An old lady is spinning or shaking out yarn.	The old lady is sleeping.	contradiction
A white poodle and two black poodles are playing in the grass on an autumn day.	The dachshunds race across the field.	contradiction
A woman crouches down with a tennis racket in both hands.	The woman is playing football.	contradiction
A man participating in a marathon is running down a street while onlookers cheer him on.	The man is is very obese.	contradiction
a lady in the bathroom smiling	Someone is styling their hair in the mirror.	contradiction
People are standing in a room with a television that has a picture of a boat on the water.	A older man walking past a building carrying a TV on his head	contradiction
Two women walk across a wet pavement.	Two women are walking across the dry parking lot.	contradiction
A man wearing headphones stands in front of some tattered American flags.	A man is lighting a flag on fire.	contradiction
A man is standing under an umbrella along side a street selling items with a yellow taxi in the background.	The woman is collecting money for charity along the side of the street.	contradiction
A man with long hair is playing an acoustic guitar.	Nobody has hair.	contradiction
A young woman searches through her purse near the entrance.	A young woman is sitting in a coffee shop.	contradiction
A young man in glasses is drinking beer and holding the 10 of clubs to his forehead.	A young man is shooting whisky and playing darts.	contradiction
A woman in a black graduation robe is standing in a crowd.	The woman's robe is red	contradiction
A man hard at work from way up high	The man slept in the hammock.	contradiction
A man rides his bicycle down the middle of a road.	The man is driving a car.	contradiction
Andy Roddick plays tennis.	people are sleeping.	contradiction
A man in a yellow rain jacket is playing a musical instrument amidst black and white birds.	There aren't any animals shown in the image.	contradiction
A tennis player wearing gray holds a tennis racket.	The tennis player wearing gray forget his racket at home.	contradiction
A young man dressed in blue swimming trunks and a red life jacket waterskiing in a blue lake.	A young man goes ice skating.	contradiction
A group of children dressed for halloween stand in line with the exception of one girl.	The group of children are dressed at a Christmas stand.	contradiction
Two healthy horses play in a field.	The two horses are laying down in their stalls.	contradiction
Dark-haired children wearing school uniforms play outside.	the children are in a church	contradiction
A brown dog running through the grass and flowers.	A dog is sleeping in the grass and flowers.	contradiction
Several little boys play indoor soccer.	A couple of boys are listening to a teacher reading a book.	contradiction
A man twirling a flaming baton.	The man is holding a flaming hoop.	contradiction
Man holding blond-haired toddler up in the air.	The toddler is walking next to the man.	contradiction
A construction worker holds a sign about bicycling.	The man is unemployed.	contradiction
A person driving a go-kart turning to his or her left.	The person is dead.	contradiction
Two Asian people are making faces at each other on a subway platform.	The people are outside.	contradiction
A young boy jumping barefoot on a trampoline in his grassy backyard.	A boy sits on a bench putting on his boots.	contradiction
The women is holding a picture of a child laying on the ground.	The woman is bowling a perfect game.	contradiction
A woman holding black and white bag rides the subway.	A woman is waiting for her subway to arrive.	contradiction
A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner.	The woman is driving her car.	contradiction
A young man wearing a life jacket is paddling his way on a lake in a canoe.	the man has no regard for his life so he is standing outside during a tornado	contradiction
A group of people are looking at nature.	A group of kids are swimming.	contradiction
Two men in sunglasses are sitting in the back of a car.	Two women wearing nice sunglasses are in the back of a black sports car.	contradiction
Man working on old truck while child watches.	A child fixing a truck while a man watches.	contradiction
A surfer is on a wave.	A surfer relaxes on the beach.	contradiction
A person is standing next to a wooden fence with flowering trees nearby.	The bare tree branches rattle in the wind.	contradiction
A person riding a bike with blue wheels on a tree trunk at night.	A boy is on an exercise bike in a gym.	contradiction
A girl with a toboggan and sunglasses smiles with her friend in the background as they do crafts.	The girl with the toboggan is not wearing sunglasses.	contradiction
Somone is high in the air doing a ski jump.	Nobody is jumping	contradiction
A woman with a baby on her lap sitting outside on a blanket.	A lone woman walks the streets hoping for her next drug fix.	contradiction
A man with a gray beard is sitting by a window.	A man with a gray beard is running down a street.	contradiction
A man pointing across a table at a woman	A man has his hands in his lap.	contradiction
A man sweeps the steps of a stone building.	A man mops the floor.	contradiction
Four young children dressed formally pose for a potrait with the two boys standing in front and the two girls smiling in the back.	Four children play loudly on a playground.	contradiction
Two hockey players are standing over another hockey player who is trying to hit a puck.	The players are in the locker rooms.	contradiction
Man driving a red Coca-Cola truck by palm trees.	The person is waxing their vehicle.	contradiction
The woman is sitting in a hot spring.	The woman is dry	contradiction
A woman wearing an apron is leaning over to clean a table inside a restaurant.	The woman is mopping the floor.	contradiction
This beautiful dancer is stretching in a studio, either warming up or cooling down.	A dancer is lacing up her ballet shoes.	contradiction
A woman in a blue dress is walking down the street.	A woman is sleeping	contradiction
a woman is working at her desk	There is a woman sitting in the desk	contradiction
Two woman playing a frisbee game, the frisbee in the air about to be caught by one of the women.	Two women are watching a spaceship fly through the air.	contradiction
People are out and about on a road in a European looking town.	The people are walking in a forest.	contradiction
A man wearing white winds up to throw.	A quarterback is tackled by the defense	contradiction
A woman is sitting on a sofa with her feet propped up on a table, while using a laptop.	A woman is doing work in an office.	contradiction
A man wearing a black shirt is outside walking with a shopping cart.	A woman is wearing a black shirt outside.	contradiction
A group of people are on a stone street and waving up at the camera.	A man is walking away from the camera.	contradiction
A male soccer player running on the field.	A soccer player is lying on the ground.	contradiction
Woman putting on makeup while multitasking and talking on the phone.	A woman holds the steering wheel and her phone while driving.	contradiction
A man in a black cap and blue shirt is looking for gold.	The man is wearing a pink shirt.	contradiction
Two little children, one boy and one girl, laugh as they sit on the grass.	There are children running around	contradiction
A heavyset man is standing next to a building.	The man is skinny.	contradiction
A man rides his blue bike high in the air over a park.	A man rides his red and yellow bike into a dumpster.	contradiction
Three woman stand talking near a wall, a table behind one of them has bottles on it all lined up.	The bottles are made of acid	contradiction
A crowd of people outside the Olympic arena in Great Britain watching the Olympics on a portable screen.	Three children are having pizza.	contradiction
This city is throwing a big celebration.	The town is closed for business.	contradiction
A runner in blue has the lead in the inside lane, while two runners in green and orange trail from the outside.	dog sleeps on deck	contradiction
A young man is drenched in water as a group of people play in the city's fountain.	Some old people sit in a lobby.	contradiction
A brown dog wearing a red vest is running in the grass.	A dog is going for a swim in a pond.	contradiction
Kids playing in a play area.	Kids playing in the street.	contradiction
Six people standing behind electrical equipment.	People are standing on electrical equipment.	contradiction
A man in a red shirt and in striped shirt singing each with a microphone.	A man doens't have any vocal cords.	contradiction
A city street has a oriental store on the corner of a one way street.	There is a walmart on the corner	contradiction
